0,2,4,7,3,6,8,1,9,5
0,2,4,7,5,1,9,6,8,3
0,2,4,7,5,9,1,6,8,3
0,2,9,1,8,5,7,4,6,3
0,2,5,8,1,4,6,9,3,7
0,2,4,6,8,1,5,9,3,7
0,2,4,6,9,1,5,8,3,7
0,2,5,8,3,6,9,1,7,4
0,3,6,9,2,5,8,1,4,7
0,2,4,7,9,1,6,8,5,3
0,2,5,8,1,3,6,9,4,7
0,2,4,6,8,1,5,3,9,7
0,2,5,9,1,8,6,3,7,4
0,2,4,7,9,3,8,5,1,6
0,2,5,7,4,9,1,8,6,3
0,2,4,6,9,1,7,5,8,3
0,2,4,7,3,8,5,9,1,6
0,2,6,4,9,1,8,5,7,3
0,2,5,9,4,8,1,6,3,7
0,2,5,8,3,7,1,4,9,6
0,2,5,7,3,6,8,1,9,4
0,2,4,7,1,6,9,3,8,5
0,2,5,8,4,1,7,3,9,6
0,2,4,6,8,5,1,9,7,3
0,2,4,6,9,1,7,3,8,5
0,2,4,6,8,1,3,9,5,7
0,2,4,6,9,1,3,8,5,7
0,2,4,6,8,3,1,9,7,5
0,2,4,8,5,1,7,3,9,6
0,2,4,8,5,3,7,1,9,6
0,2,4,8,6,9,3,1,7,5
0,2,4,8,6,1,3,9,7,5
0,2,4,7,9,1,6,3,8,5
0,3,6,9,2,7,4,1,8,5
0,3,6,1,7,4,8,2,9,5
0,2,5,8,3,9,7,4,1,6
0,2,4,6,8,1,9,5,7,3
0,2,4,6,1,9,7,5,8,3
0,2,4,7,5,8,6,9,1,3
0,4,8,2,6,1,7,3,9,5
0,2,4,8,6,9,1,5,7,3
0,2,4,6,8,5,7,9,1,3
0,2,7,5,8,1,9,4,6,3
0,2,6,1,9,5,8,3,7,4
0,2,5,9,6,3,8,4,1,7
0,2,4,7,9,1,5,8,3,6
0,2,4,8,3,9,7,5,1,6
0,2,5,8,1,6,3,9,4,7
0,2,4,6,8,1,9,3,7,5
0,2,4,6,8,1,9,7,3,5
0,2,4,7,9,3,1,6,8,5
0,2,4,6,8,3,7,9,1,5
0,2,4,7,5,3,9,1,8,6
0,2,4,7,5,9,1,3,8,6
0,3,6,9,2,8,5,1,7,4
0,2,4,7,1,9,6,3,8,5
0,2,4,6,8,1,9,7,5,3
0,2,4,7,9,1,5,8,6,3
0,3,7,2,8,5,1,4,9,6
0,3,6,1,7,4,9,2,8,5
0,2,4,6,9,1,8,5,3,7
0,2,5,8,1,9,4,7,3,6
0,2,4,6,8,3,7,1,9,5
